_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee19a4e2980ece65e175),,4,1800,"[""large eggs"",""milk"",""salt"",""black pepper"",""butter oil"",""bread"",""goat cheese"",""chives""]",Smitten Kitchen,Scrambled Egg Toast,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Egg-Toast-1911519
ObjectId(58e5ee1aa4e2980ece65f6e4),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.0,""bitter"":0.6666666666666666,""meaty"":0.8333333333333334}",4,1200,"[""pressed tofu"",""olive oil"",""garlic"",""nutritional yeast"",""ground cumin"",""salt""]",I Love Vegan,Scrambled Tofu,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Tofu-977551
ObjectId(58e5ee1aa4e2980ece660a07),"{""sweet"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,,"[""eggs"",""milk"",""bacon"",""cheddar cheese"",""chives"",""salt"",""pepper""]",Walking on Sunshine,Scrambled Egg Breakfast Muffins,{},Scrambled-Egg-Breakfast-Muffins-1594914
ObjectId(58e5ee1aa4e2980ece66187a),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.6666666666666666}",3,900,"[""eggs"",""butter"",""green onions"",""roma tomatoes"",""Boursin""]",Sunrise Senor Living,Scrambled Eggs Provençal,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-Provencal-1026436
ObjectId(58e5ee1ba4e2980ece664e9b),,4,1200,"[""eggs"",""carrots"",""long green pepper"",""enokitake"",""garlic"",""oil"",""salt"",""soy sauce""]",Spice The Plate,Scrambled Egg Vegetable Stir Fry,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Egg-Vegetable-Stir-Fry-2045811
ObjectId(58e5ee1ba4e2980ece66593a),,4,1500,"[""onions"",""portabello mushroom"",""extra large eggs"",""basil"",""ghee""]",Know your produce,"Scrambled Eggs with Caramelized Onions, Mushrooms, and Fresh Basil","{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-with-Caramelized-Onions_-Mushrooms_-and-Fresh-Basil-1030011
ObjectId(58e5ee1ba4e2980ece665ab6),"{""piquant"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.8333333333333334}",5,1800,"[""pork sausages"",""eggs"",""onions"",""green pepper"",""salt"",""pepper"",""garlic powder"",""shredded cheddar cheese""]",AllRecipes,Scrambled Egg Muffins,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Egg-Muffins-Allrecipes
ObjectId(58e5ee1ba4e2980ece665f4f),,4,1200,"[""butter"",""eggs"",""avocado"",""salt"",""pepper"",""roasted red peppers""]",Cookistry,Scrambled Eggs and Avocado,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-and-Avocado-1051212
ObjectId(58e5ee1ba4e2980ece667905),"{""piquant"":0.16666666666666666,""sour"":0.8333333333333334,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,1500,"[""olive oil"",""onions"",""red pepper flakes"",""kale"",""eggs"",""salt"",""pepper""]",Princess Tafadzwa,Scrambled Kale And Eggs,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Kale-And-Eggs-1041869
ObjectId(58e5ee1ca4e2980ece668899),,5,1200,"[""greek yogurt"",""garlic"",""fresh lemon juice"",""butter"",""eggs"",""mini pita rounds"",""flat leaf parsley""]",Every Day with Rachael Ray,Scrambled Egg Pockets,"{""course"":[""Lunch"",""Breakfast and Brunch""]}",Scrambled-egg-pockets-347775
ObjectId(58e5ee1ca4e2980ece668b18),"{""piquant"":0.0,""sour"":0.0,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",5,1500,"[""corn tortillas"",""eggs"",""milk"",""shredded cheese""]",Cookie and Kate,Scrambled Huevos Rancheros,"{""course"":[""Breakfast and Brunch""]}",Scrambled-huevos-rancheros-344713
ObjectId(58e5ee1ca4e2980ece668d4b),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.6666666666666666}",4,1800,"[""cage free eggs"",""garlic sausage"",""onions"",""milk"",""butter"",""pepper"",""salt""]",Happiness is Homemade,SCRAMBLED EGGS WITH SAUSAGE AND ONION,"{""course"":[""Breakfast and Brunch""]}",SCRAMBLED-EGGS-WITH-SAUSAGE-AND-ONION-1385472
ObjectId(58e5ee1ca4e2980ece66911a),,4,1200,"[""medium eggs"",""salt"",""spring onions"",""olive oil"",""water""]",Wink Shots,Scrambled Egg with Spinach,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Egg-with-Spinach-1582228
ObjectId(58e5ee1ca4e2980ece6693cf),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.6666666666666666}",4,1800,"[""cage free eggs"",""garlic sausage"",""onions"",""milk"",""butter"",""pepper"",""salt""]",Happiness is Homemade,SCRAMBLED EGGS WITH SAUSAGE AND ONION,"{""course"":[""Breakfast and Brunch""]}",SCRAMBLED-EGGS-WITH-SAUSAGE-AND-ONION-1385472
ObjectId(58e5ee1ca4e2980ece66a3d1),,5,1200,"[""olive oil"",""tomatillos"",""chopped onion"",""chile pepper"",""lemon juice"",""eggs"",""salt"",""pepper"",""chopped fresh cilantro""]",Simply Recipes,Scrambled Eggs with Tomatillos,"{""course"":[""Breakfast and Brunch""],""cuisine"":[""Mexican""]}",Scrambled-Eggs-with-Tomatillos-Simply-Recipes-42621
ObjectId(58e5ee1ca4e2980ece66b024),,4,108000,"[""tofu"",""whole grains"",""lettuce"",""sliced tomatoes"",""avocado"",""salsa"",""hummus"",""Sriracha""]",I Love Vegan,Scrambled Tofu Breakfast Wrap,"{""course"":[""Lunch"",""Breakfast and Brunch""]}",Scrambled-Tofu-Breakfast-Wrap-977561
ObjectId(58e5ee1ca4e2980ece66bf35),,4,1800,"[""olive oil"",""asparagus"",""eggs"",""half \u0026 half"",""goat cheese"",""sliced bread""]",Julia's Album,"Scrambled Eggs, Asparagus, And Goat Cheese",{},Scrambled-Eggs_-Asparagus_-And-Goat-Cheese-1770552
ObjectId(58e5ee1ca4e2980ece66c340),,5,1800,"[""crimini mushrooms"",""olive oil"",""eggs"",""Spike Seasoning"",""feta cheese""]",Kalyn's Kitchen,Scrambled Eggs with Sauteed Mushrooms and Feta,"{""course"":[""Breakfast and Brunch""]}",Scrambled-eggs-with-sauteed-mushrooms-and-feta-309762
ObjectId(58e5ee1da4e2980ece66e3bd),"{""piquant"":0.8333333333333334,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,1500,"[""tomatoes"",""green onions"",""purple onion"",""cilantro"",""lime"",""chili"",""garlic"",""salt"",""large eggs""]",The Kitchn,Scrambled Eggs with Lazy Salsa,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-with-Lazy-Salsa-1104114
ObjectId(58e5ee1da4e2980ece66e43c),,3,900,"[""zucchini"",""salt"",""pepper"",""eggs"",""dried oregano"",""unsalted butter"",""puff pastry"",""shredded cheddar cheese"",""sliced tomatoes""]",Every Day with Rachael Ray,Scrambled Egg Turnovers,"{""course"":[""Lunch"",""Breakfast and Brunch""]}",Scrambled-egg-turnovers-346360
ObjectId(58e5ee1da4e2980ece66eb84),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.6666666666666666}",4,1200,"[""eggs"",""bread"",""butter"",""avocado"",""tomatoes"",""arugula"",""cheddar cheese""]",The Kittchen,Scrambled Egg and Avocado Grilled Cheese,"{""course"":[""Breakfast and Brunch"",""Lunch""],""cuisine"":[""Barbecue"",""Kid-Friendly""]}",Scrambled-Egg-and-Avocado-Grilled-Cheese-1432679
ObjectId(58e5ee1da4e2980ece6702e6),,4,1500,"[""pressed tofu"",""olive oil"",""garlic"",""nutritional yeast"",""ground cumin"",""salt""]",I Love Vegan,Scrambled Tofu,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Tofu-1125995
ObjectId(58e5ee1ea4e2980ece673985),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.5,""meaty"":0.3333333333333333}",4,1500,"[""eggs"",""tomatoes"",""spring onions"",""sugar"",""salt"",""oil""]",Cooking With Lei,Scrambled Eggs With Tomatoes,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-With-Tomatoes-1896846
ObjectId(58e5ee1ea4e2980ece674eb2),,4,1800,"[""eggs"",""milk"",""shredded cheddar cheese"",""sausages"",""green onions"",""salt"",""pepper""]",Real Mom Nutrition,Scrambled Egg Muffins,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Egg-Muffins-1321680
ObjectId(58e5ee1ea4e2980ece675f03),"{""piquant"":0.0,""sour"":0.5,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.5,""meaty"":0.6666666666666666}",4,1200,"[""eggs"",""milk"",""salt"",""wild garlic"",""bread"",""olive oil"",""fresh parsley""]",Lauren Caris Cooks,Scrambled Eggs With Wild Garlic,"{""course"":[""Breakfast and Brunch"",""Lunch""]}",Scrambled-Eggs-With-Wild-Garlic-1484682
ObjectId(58e5ee1fa4e2980ece679535),,4,1500,"[""tempeh"",""purple onion"",""garlic cloves"",""kale"",""tomatoes"",""gluten free soy sauce"",""turmeric"",""olive oil"",""salt""]",Posh Journal,Scrambled Turmeric Tempeh,{},Scrambled-Turmeric-Tempeh-1236370
ObjectId(58e5ee1fa4e2980ece67b6df),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.5}",4,2100,"[""extra firm tofu"",""olive oil"",""onions"",""garlic"",""turmeric"",""cumin"",""nutritional yeast"",""water"",""soy sauce""]",Home Cooked Vegan,Scrambled Tofu,"{""course"":[""Main Dishes""]}",Scrambled-Tofu-1344687
ObjectId(58e5ee1fa4e2980ece67bac8),"{""piquant"":0.16666666666666666,""sour"":0.3333333333333333,""salty"":0.6666666666666666,""sweet"":0.3333333333333333,""bitter"":0.5,""meaty"":0.3333333333333333}",4,1800,"[""eggs"",""sweet onion"",""rocket leaves"",""smoked gouda"",""salt"",""red pepper""]",Feed Me Phoebe,"Scrambled Eggs with Smoked Gouda, Caramelized Onions and Arugula","{""course"":[""Breakfast and Brunch"",""Lunch""]}",Scrambled-Eggs-with-Smoked-Gouda_-Caramelized-Onions-and-Arugula-1319915
ObjectId(58e5ee1fa4e2980ece67caa9),,5,900,"[""olive oil"",""chopped onion"",""red pepper flakes"",""kale"",""eggs"",""mozzarella cheese"",""italian seasoning"",""ground black pepper"",""salt""]",Simply Recipes,Scrambled Eggs with Kale and Mozzarella,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-with-Kale-and-Mozzarella-439572
ObjectId(58e5ee1fa4e2980ece67cc5b),,5,900,"[""olive oil"",""chopped onion"",""red pepper flakes"",""kale"",""eggs"",""mozzarella cheese"",""italian seasoning"",""ground black pepper"",""salt""]",Simply Recipes,Scrambled Eggs with Kale and Mozzarella,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-with-Kale-and-Mozzarella-439572
ObjectId(58e5ee1fa4e2980ece67e963),,3,900,"[""chickpea flour"",""water"",""vegan butter"",""salt"",""pepper""]",One Green Planet,"Scrambled Chickpea Flour [Vegan, Gluten-Free]","{""course"":[""Breakfast and Brunch""]}",Scrambled-Chickpea-Flour-_Vegan_-Gluten-Free_-1057267
ObjectId(58e5ee20a4e2980ece67ee6c),,4,1500,"[""spaghetti"",""butter"",""eggs"",""cooked bacon"",""green onions""]",Created by Diane,Scrambled Egg and Bacon Spaghetti,"{""course"":[""Breakfast and Brunch"",""Main Dishes""]}",Scrambled-Egg-and-Bacon-Spaghetti-1394777
ObjectId(58e5ee20a4e2980ece6802db),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",5,1800,"[""eggs"",""tomatoes"",""cooking oil"",""salt""]",Food52,Scrambled Eggs with Tomatoes.,"{""course"":[""Breakfast and Brunch""]}",Scrambled-eggs-with-tomatoes_-320409
ObjectId(58e5ee20a4e2980ece6807c9),,3,600,"[""crispbreads"",""eggs"",""bacon"",""watercress"",""salt"",""pepper""]",RYVITA,Scrambled Egg with Bacon or Sundried Tomatoes,"{""course"":[""Breakfast and Brunch""],""cuisine"":[""Barbecue""]}",Scrambled-Egg-with-Bacon-or-Sundried-Tomatoes-1344911
ObjectId(58e5ee20a4e2980ece68097b),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,600,"[""olive oil"",""eggs"",""sea salt"",""water"",""freshly ground black pepper"",""pinenuts"",""feta cheese"",""spinach""]",Get Inspired Everyday!,"Scrambled Eggs with Spinach, Feta, and Pine Nuts","{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-with-Spinach_-Feta_-and-Pine-Nuts-2052304
ObjectId(58e5ee20a4e2980ece681769),"{""sweet"":0.16666666666666666,""sour"":0.6666666666666666,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,1800,"[""tofu"",""onions"",""pepper"",""frozen peas"",""dill"",""turmeric"",""soy sauce"",""oil"",""salt""]",Fleursvegankitchen,Scrambled Tofu,{},Scrambled-Tofu-969906
ObjectId(58e5ee20a4e2980ece6818f9),,4,900,"[""large eggs"",""unsalted butter"",""sauce"",""plain yogurt"",""goat cheese"",""chives""]",CrunchyGooey,Scrambled Eggs with Chimichurri,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-with-Chimichurri-595904
ObjectId(58e5ee20a4e2980ece681e28),,4,600,"[""olive oil"",""firm tofu"",""purple onion"",""turmeric"",""water"",""soy"",""soy sauce"",""kala namak"",""black pepper"",""large tomato"",""fresh chives""]",Vegan Heaven,Scrambled Tofu with Tomatoes and Chives,"{""course"":[""Breakfast and Brunch"",""Main Dishes""]}",Scrambled-Tofu-with-Tomatoes-and-Chives-1304365
ObjectId(58e5ee20a4e2980ece682169),"{""sweet"":0.16666666666666666,""sour"":0.6666666666666666,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,1800,"[""tofu"",""onions"",""pepper"",""frozen peas"",""dill"",""turmeric"",""soy sauce"",""oil"",""salt""]",Fleursvegankitchen,Scrambled Tofu,{},Scrambled-Tofu-969906
ObjectId(58e5ee20a4e2980ece68288b),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.3333333333333333,""meaty"":0.6666666666666666}",5,1800,"[""large eggs"",""chopped fresh chives"",""milk"",""butter"",""onions"",""smoked salmon""]",Epicurious,Scrambled Eggs with Smoked Salmon and Chives,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-With-Smoked-Salmon-And-Chives-Epicurious
ObjectId(58e5ee20a4e2980ece6831bc),"{""piquant"":0.3333333333333333,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.6666666666666666}",4,120,"[""eggs"",""salt"",""pepper"",""shredded cheddar cheese"",""salsa""]",DIY Thrill,Scrambled Eggs in a Mug,"{""course"":[""Breakfast and Brunch"",""Lunch""]}",Scrambled-Eggs-in-a-Mug-1521825
ObjectId(58e5ee20a4e2980ece683bb4),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.5,""meaty"":0.6666666666666666}",4,1800,"[""jack"",""potatoes"",""eggs"",""milk"",""bacon slices"",""shredded cheese""]",Seven on a Shoestring,Scrambled Eggs and Bacon Hashbrown Cups,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-and-Bacon-Hashbrown-Cups-1612435
ObjectId(58e5ee20a4e2980ece684251),"{""piquant"":0.6666666666666666,""sour"":0.6666666666666666,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.3333333333333333,""meaty"":0.6666666666666666}",4,1500,"[""olive oil"",""diced yellow onion"",""green bell pepper"",""button mushrooms"",""arugula"",""large eggs"",""shredded sharp cheddar cheese"",""hot sauce""]",The Kitchn,Scrambled Eggs With Vegetables,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-With-Vegetables-993423
ObjectId(58e5ee20a4e2980ece684b1b),"{""piquant"":0.6666666666666666,""sour"":0.6666666666666666,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.3333333333333333,""meaty"":0.6666666666666666}",4,1500,"[""olive oil"",""diced yellow onion"",""green bell pepper"",""button mushrooms"",""arugula"",""large eggs"",""shredded sharp cheddar cheese"",""hot sauce""]",The Kitchn,Scrambled Eggs With Vegetables,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-With-Vegetables-993423
ObjectId(58e5ee21a4e2980ece68514f),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.8333333333333334}",4,1500,"[""olive oil"",""garlic cloves"",""large eggs"",""light cream"",""fresh basil"",""grated Gruyère cheese""]",Amanda's Cookin',"Scrambled Eggs with Garlic, Basil & Feta","{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-with-Garlic_-Basil-_-Feta-1881266
ObjectId(58e5ee21a4e2980ece6857cd),,3,1500,"[""eggs"",""kosher salt""]",BigOven,Scrambled Eggs,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-1579365
ObjectId(58e5ee21a4e2980ece685bad),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",3,300,"[""extra large eggs"",""butter"",""salt"",""pepper""]",About Food Breakfast and Brunch,Scrambled Eggs,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-1438691
ObjectId(58e5ee21a4e2980ece685f74),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,1500,"[""firm tofu"",""turmeric"",""vegetable oil"",""toast"",""salt"",""pepper""]",Hillbilly Housewife,Scrambled Tofu on Toast,"{""course"":[""Breakfast and Brunch"",""Lunch""]}",Scrambled-Tofu-on-Toast-1113702
ObjectId(58e5ee21a4e2980ece686104),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.6666666666666666}",4,2100,"[""bacon"",""potatoes"",""shredded cheddar cheese"",""eggs""]",AllRecipes,Scrambled Potatoes,"{""course"":[""Breakfast and Brunch"",""Side Dishes""]}",Scrambled-Potatoes-Allrecipes
ObjectId(58e5ee21a4e2980ece6862d0),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.8333333333333334}",4,1800,"[""eggs"",""coconut milk"",""salt"",""pepper"",""bacon fat"",""spring onions"",""goat cheese""]",This West Coast Mommy,Scrambled Eggs with Coconut Milk,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-with-Coconut-Milk-1284210
ObjectId(58e5ee21a4e2980ece6864ec),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.3333333333333333,""sweet"":0.16666666666666666,""bitter"":0.3333333333333333,""meaty"":0.3333333333333333}",4,1800,"[""gluten"",""eggs"",""canned black beans"",""tomatoes"",""purple onion"",""coconut milk"",""chopped cilantro"",""extra-virgin olive oil"",""salt"",""avocado"",""lime juice""]",Avocado Pesto,"Scrambled Egg and Veggie Breakfast Quesdaillas {GF, DF}","{""course"":[""Breakfast and Brunch""]}",Scrambled-Egg-and-Veggie-Breakfast-Quesdaillas-_GF_-DF_-1617980
ObjectId(58e5ee21a4e2980ece68686e),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.0,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.0}",5,600,"[""tequila"",""fresh lime juice"",""fresh lemon juice"",""agave nectar"",""mure""]",Liquor.com,Scramble,"{""course"":[""Cocktails"",""Beverages""]}",Scramble-354459
ObjectId(58e5ee21a4e2980ece686a4f),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.8333333333333334}",4,1800,"[""eggs"",""coconut milk"",""salt"",""pepper"",""bacon fat"",""spring onions"",""goat cheese""]",This West Coast Mommy,Scrambled Eggs with Coconut Milk,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-with-Coconut-Milk-1284210
ObjectId(58e5ee21a4e2980ece68716c),,3,1500,"[""large eggs"",""freshly ground pepper"",""kosher salt"",""chèvre"",""onions"",""olive oil"",""smoked paprika"",""parsley leaves""]",Bon Appétit,Scrambled Eggs with Caramelized Onions and Chèvre,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-with-Caramelized-Onions-and-Chevre-974237
ObjectId(58e5ee21a4e2980ece687885),,3,1500,"[""large eggs"",""freshly ground pepper"",""kosher salt"",""chèvre"",""onions"",""olive oil"",""smoked paprika"",""parsley leaves""]",Bon Appétit,Scrambled Eggs with Caramelized Onions and Chèvre,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Eggs-with-Caramelized-Onions-and-Chevre-974237
ObjectId(58e5ee21a4e2980ece687f4c),"{""piquant"":0.5,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.5,""meaty"":0.8333333333333334}",4,1500,"[""eggs"",""butter"",""kosher salt"",""ground pepper""]",Chez Us,Scrambled Egg,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Egg-1797293
ObjectId(58e5ee21a4e2980ece689275),,4,1200,"[""eggs"",""carrots"",""long green pepper"",""enokitake"",""garlic"",""oil"",""salt"",""soy sauce""]",Spice The Plate,Scrambled Egg Vegetable Stir Fry,"{""course"":[""Breakfast and Brunch""]}",Scrambled-Egg-Vegetable-Stir-Fry-2045811
